# offlineChannelIndex,barIndex,SiPM,sectorName,moduleNumber,side,ROC,ROCport,FEBchannel
0,0,0,CRV_EX,0,-,1,1,0
1,0,1,CRV_EX,0,+,1,3,0
2,0,2,CRV_EX,0,-,1,1,1
3,0,3,CRV_EX,0,+,1,3,1
4,1,0,CRV_EX,0,-,1,1,2
5,1,1,CRV_EX,0,+,1,3,2
6,1,2,CRV_EX,0,-,1,1,3
7,1,3,CRV_EX,0,+,1,3,3
8,2,0,CRV_EX,0,-,1,1,4
9,2,1,CRV_EX,0,+,1,3,4
10,2,2,CRV_EX,0,-,1,1,5
11,2,3,CRV_EX,0,+,1,3,5
12,3,0,CRV_EX,0,-,1,1,6
13,3,1,CRV_EX,0,+,1,3,6
14,3,2,CRV_EX,0,-,1,1,7
15,3,3,CRV_EX,0,+,1,3,7
16,4,0,CRV_EX,0,-,1,1,8
17,4,1,CRV_EX,0,+,1,3,8
18,4,2,CRV_EX,0,-,1,1,9
19,4,3,CRV_EX,0,+,1,3,9
20,5,0,CRV_EX,0,-,1,1,10
21,5,1,CRV_EX,0,+,1,3,10
22,5,2,CRV_EX,0,-,1,1,11
23,5,3,CRV_EX,0,+,1,3,11
24,6,0,CRV_EX,0,-,1,1,12
25,6,1,CRV_EX,0,+,1,3,12
26,6,2,CRV_EX,0,-,1,1,13
27,6,3,CRV_EX,0,+,1,3,13
28,7,0,CRV_EX,0,-,1,1,14
29,7,1,CRV_EX,0,+,1,3,14
30,7,2,CRV_EX,0,-,1,1,15
31,7,3,CRV_EX,0,+,1,3,15
32,8,0,CRV_EX,0,-,1,1,16
33,8,1,CRV_EX,0,+,1,3,16
34,8,2,CRV_EX,0,-,1,1,17
35,8,3,CRV_EX,0,+,1,3,17
36,9,0,CRV_EX,0,-,1,1,18
37,9,1,CRV_EX,0,+,1,3,18
38,9,2,CRV_EX,0,-,1,1,19
39,9,3,CRV_EX,0,+,1,3,19
40,10,0,CRV_EX,0,-,1,1,20
41,10,1,CRV_EX,0,+,1,3,20
42,10,2,CRV_EX,0,-,1,1,21
43,10,3,CRV_EX,0,+,1,3,21
44,11,0,CRV_EX,0,-,1,1,22
45,11,1,CRV_EX,0,+,1,3,22
46,11,2,CRV_EX,0,-,1,1,23
47,11,3,CRV_EX,0,+,1,3,23
48,12,0,CRV_EX,0,-,1,1,24
49,12,1,CRV_EX,0,+,1,3,24
50,12,2,CRV_EX,0,-,1,1,25
51,12,3,CRV_EX,0,+,1,3,25
52,13,0,CRV_EX,0,-,1,1,26
53,13,1,CRV_EX,0,+,1,3,26
54,13,2,CRV_EX,0,-,1,1,27
55,13,3,CRV_EX,0,+,1,3,27
56,14,0,CRV_EX,0,-,1,1,28
57,14,1,CRV_EX,0,+,1,3,28
58,14,2,CRV_EX,0,-,1,1,29
59,14,3,CRV_EX,0,+,1,3,29
60,15,0,CRV_EX,0,-,1,1,30
61,15,1,CRV_EX,0,+,1,3,30
62,15,2,CRV_EX,0,-,1,1,31
63,15,3,CRV_EX,0,+,1,3,31
64,16,0,CRV_EX,0,-,1,1,32
65,16,1,CRV_EX,0,+,1,3,32
66,16,2,CRV_EX,0,-,1,1,33
67,16,3,CRV_EX,0,+,1,3,33
68,17,0,CRV_EX,0,-,1,1,34
69,17,1,CRV_EX,0,+,1,3,34
70,17,2,CRV_EX,0,-,1,1,35
71,17,3,CRV_EX,0,+,1,3,35
72,18,0,CRV_EX,0,-,1,1,36
73,18,1,CRV_EX,0,+,1,3,36
74,18,2,CRV_EX,0,-,1,1,37
75,18,3,CRV_EX,0,+,1,3,37
76,19,0,CRV_EX,0,-,1,1,38
77,19,1,CRV_EX,0,+,1,3,38
78,19,2,CRV_EX,0,-,1,1,39
79,19,3,CRV_EX,0,+,1,3,39
80,20,0,CRV_EX,0,-,1,1,40
81,20,1,CRV_EX,0,+,1,3,40
82,20,2,CRV_EX,0,-,1,1,41
83,20,3,CRV_EX,0,+,1,3,41
84,21,0,CRV_EX,0,-,1,1,42
85,21,1,CRV_EX,0,+,1,3,42
86,21,2,CRV_EX,0,-,1,1,43
87,21,3,CRV_EX,0,+,1,3,43
88,22,0,CRV_EX,0,-,1,1,44
89,22,1,CRV_EX,0,+,1,3,44
90,22,2,CRV_EX,0,-,1,1,45
91,22,3,CRV_EX,0,+,1,3,45
92,23,0,CRV_EX,0,-,1,1,46
93,23,1,CRV_EX,0,+,1,3,46
94,23,2,CRV_EX,0,-,1,1,47
95,23,3,CRV_EX,0,+,1,3,47
96,24,0,CRV_EX,0,-,1,1,48
97,24,1,CRV_EX,0,+,1,3,48
98,24,2,CRV_EX,0,-,1,1,49
99,24,3,CRV_EX,0,+,1,3,49
100,25,0,CRV_EX,0,-,1,1,50
101,25,1,CRV_EX,0,+,1,3,50
102,25,2,CRV_EX,0,-,1,1,51
103,25,3,CRV_EX,0,+,1,3,51
104,26,0,CRV_EX,0,-,1,1,52
105,26,1,CRV_EX,0,+,1,3,52
106,26,2,CRV_EX,0,-,1,1,53
107,26,3,CRV_EX,0,+,1,3,53
108,27,0,CRV_EX,0,-,1,1,54
109,27,1,CRV_EX,0,+,1,3,54
110,27,2,CRV_EX,0,-,1,1,55
111,27,3,CRV_EX,0,+,1,3,55
112,28,0,CRV_EX,0,-,1,1,56
113,28,1,CRV_EX,0,+,1,3,56
114,28,2,CRV_EX,0,-,1,1,57
115,28,3,CRV_EX,0,+,1,3,57
116,29,0,CRV_EX,0,-,1,1,58
117,29,1,CRV_EX,0,+,1,3,58
118,29,2,CRV_EX,0,-,1,1,59
119,29,3,CRV_EX,0,+,1,3,59
120,30,0,CRV_EX,0,-,1,1,60
121,30,1,CRV_EX,0,+,1,3,60
122,30,2,CRV_EX,0,-,1,1,61
123,30,3,CRV_EX,0,+,1,3,61
124,31,0,CRV_EX,0,-,1,1,62
125,31,1,CRV_EX,0,+,1,3,62
126,31,2,CRV_EX,0,-,1,1,63
127,31,3,CRV_EX,0,+,1,3,63
128,32,0,CRV_EX,0,-,2,5,0
129,32,1,CRV_EX,0,+,1,4,0
130,32,2,CRV_EX,0,-,2,5,1
131,32,3,CRV_EX,0,+,1,4,1
132,33,0,CRV_EX,0,-,2,5,2
133,33,1,CRV_EX,0,+,1,4,2
134,33,2,CRV_EX,0,-,2,5,3
135,33,3,CRV_EX,0,+,1,4,3
136,34,0,CRV_EX,0,-,2,5,4
137,34,1,CRV_EX,0,+,1,4,4
138,34,2,CRV_EX,0,-,2,5,5
139,34,3,CRV_EX,0,+,1,4,5
140,35,0,CRV_EX,0,-,2,5,6
141,35,1,CRV_EX,0,+,1,4,6
142,35,2,CRV_EX,0,-,2,5,7
143,35,3,CRV_EX,0,+,1,4,7
144,36,0,CRV_EX,0,-,2,5,8
145,36,1,CRV_EX,0,+,1,4,8
146,36,2,CRV_EX,0,-,2,5,9
147,36,3,CRV_EX,0,+,1,4,9
148,37,0,CRV_EX,0,-,2,5,10
149,37,1,CRV_EX,0,+,1,4,10
150,37,2,CRV_EX,0,-,2,5,11
151,37,3,CRV_EX,0,+,1,4,11
152,38,0,CRV_EX,0,-,2,5,12
153,38,1,CRV_EX,0,+,1,4,12
154,38,2,CRV_EX,0,-,2,5,13
155,38,3,CRV_EX,0,+,1,4,13
156,39,0,CRV_EX,0,-,2,5,14
157,39,1,CRV_EX,0,+,1,4,14
158,39,2,CRV_EX,0,-,2,5,15
159,39,3,CRV_EX,0,+,1,4,15
160,40,0,CRV_EX,0,-,2,5,16
161,40,1,CRV_EX,0,+,1,4,16
162,40,2,CRV_EX,0,-,2,5,17
163,40,3,CRV_EX,0,+,1,4,17
164,41,0,CRV_EX,0,-,2,5,18
165,41,1,CRV_EX,0,+,1,4,18
166,41,2,CRV_EX,0,-,2,5,19
167,41,3,CRV_EX,0,+,1,4,19
168,42,0,CRV_EX,0,-,2,5,20
169,42,1,CRV_EX,0,+,1,4,20
170,42,2,CRV_EX,0,-,2,5,21
171,42,3,CRV_EX,0,+,1,4,21
172,43,0,CRV_EX,0,-,2,5,22
173,43,1,CRV_EX,0,+,1,4,22
174,43,2,CRV_EX,0,-,2,5,23
175,43,3,CRV_EX,0,+,1,4,23
176,44,0,CRV_EX,0,-,2,5,24
177,44,1,CRV_EX,0,+,1,4,24
178,44,2,CRV_EX,0,-,2,5,25
179,44,3,CRV_EX,0,+,1,4,25
180,45,0,CRV_EX,0,-,2,5,26
181,45,1,CRV_EX,0,+,1,4,26
182,45,2,CRV_EX,0,-,2,5,27
183,45,3,CRV_EX,0,+,1,4,27
184,46,0,CRV_EX,0,-,2,5,28
185,46,1,CRV_EX,0,+,1,4,28
186,46,2,CRV_EX,0,-,2,5,29
187,46,3,CRV_EX,0,+,1,4,29
188,47,0,CRV_EX,0,-,2,5,30
