# misalign wires in first three panels by +/- 150 um (odd/even)
TABLE TrkAlignStraw
    0, 0_0_0  ,   0.030,   0.391,   0.218,   0.520,  -0.140,   0.180,  -0.008,   0.350
    1, 0_0_1  ,  -0.013,   0.303,   0.171,   0.504,  -0.058,  -0.010,   0.088,   0.322
    2, 0_0_2  ,   0.025,   0.401,   0.198,   0.659,  -0.195,   0.151,   0.041,   0.357
    3, 0_0_3  ,   0.016,   0.234,   0.168,   0.514,  -0.130,   0.013,   0.144,   0.350
    4, 0_0_4  ,   0.040,   0.438,   0.196,   0.678,  -0.113,   0.060,   0.090,   0.316
    5, 0_0_5  ,   0.004,   0.231,   0.172,   0.488,  -0.128,   0.036,   0.119,   0.234
    6, 0_0_6  ,   0.008,   0.451,   0.202,   0.718,  -0.129,   0.152,   0.059,   0.312
    7, 0_0_7  ,  -0.008,   0.204,   0.180,   0.467,  -0.034,  -0.041,   0.117,   0.364
    8, 0_0_8  ,   0.011,   0.498,   0.186,   0.747,  -0.165,   0.126,   0.055,   0.310
    9, 0_0_9  ,  -0.014,   0.216,   0.164,   0.497,  -0.150,   0.096,   0.047,   0.367
   10, 0_0_10 ,   0.007,   0.506,   0.217,   0.741,  -0.117,   0.094,   0.120,   0.284
   11, 0_0_11 ,   0.020,   0.115,   0.170,   0.476,  -0.120,   0.059,   0.171,   0.369
   12, 0_0_12 ,   0.003,   0.279,   0.210,   0.588,  -0.172,   0.109,   0.188,   0.167
   13, 0_0_13 ,  -0.010,   0.113,   0.203,   0.384,  -0.067,  -0.029,   0.206,   0.383
   14, 0_0_14 ,   0.006,   0.578,   0.188,   0.762,  -0.141,   0.085,   0.129,   0.288
   15, 0_0_15 ,  -0.001,   0.068,   0.194,   0.354,  -0.056,   0.044,   0.180,   0.407
   16, 0_0_16 ,  -0.016,   0.462,   0.191,   0.765,  -0.226,   0.070,   0.130,   0.290
   17, 0_0_17 ,  -0.034,   0.096,   0.173,   0.459,  -0.165,   0.082,   0.079,   0.413
   18, 0_0_18 ,  -0.016,   0.438,   0.192,   0.837,  -0.102,   0.058,   0.122,   0.252
   19, 0_0_19 ,  -0.055,   0.049,   0.195,   0.388,  -0.102,   0.053,   0.165,   0.346
   20, 0_0_20 ,  -0.052,   0.443,   0.181,   0.795,  -0.175,   0.057,   0.159,   0.245
   21, 0_0_21 ,  -0.059,   0.235,   0.184,   0.505,  -0.181,   0.113,   0.153,   0.239
   22, 0_0_22 ,  -0.039,   0.418,   0.183,   0.756,  -0.212,  -0.054,   0.105,   0.251
   23, 0_0_23 ,  -0.057,   0.060,   0.170,   0.369,  -0.092,   0.054,   0.154,   0.338
   24, 0_0_24 ,  -0.025,   0.431,   0.214,   0.826,  -0.036,   0.167,   0.178,   0.260
   25, 0_0_25 ,  -0.036,   0.063,   0.184,   0.465,  -0.076,   0.065,   0.171,   0.339
   26, 0_0_26 ,  -0.025,   0.412,   0.194,   0.775,  -0.211,   0.003,   0.178,   0.230
   27, 0_0_27 ,  -0.036,   0.027,   0.189,   0.370,  -0.067,  -0.018,   0.125,   0.338
   28, 0_0_28 ,  -0.147,   0.428,   0.206,   0.725,  -0.367,   0.034,   0.183,   0.246
   29, 0_0_29 ,  -0.025,  -0.025,   0.209,   0.394,  -0.080,   0.068,   0.074,   0.477
   30, 0_0_30 ,  -0.024,   0.344,   0.202,   0.736,  -0.038,   0.025,   0.142,   0.272
   31, 0_0_31 ,  -0.032,  -0.028,   0.202,   0.362,  -0.057,   0.075,   0.140,   0.470
