TABLE CRVTime  123660-123660
#  123660 cid 303
# channel,timeOffset
    0,   0.000
    1,  25.209
    2,   0.000
    3,  25.209
    4,   0.000
    5,  25.209
    6,   0.000
    7,  25.209
    8,   0.000
    9,  25.209
   10,   0.000
   11,  25.209
   12,   0.000
   13,  25.209
   14,   0.000
   15,  25.209
   16,   0.000
   17,  25.209
   18,   0.000
   19,  25.209
   20,   0.000
   21,  25.209
   22,   0.000
   23,  25.209
   24,   0.000
   25,  25.209
   26,   0.000
   27,  25.209
   28,   0.000
   29,  25.209
   30,   0.000
   31,  25.209
   32,  -0.004
   33,  26.149
   34,  -0.004
   35,  26.149
   36,  -0.004
   37,  26.149
   38,  -0.004
   39,  26.149
   40,  -0.004
   41,  26.149
   42,  -0.004
   43,  26.149
   44,  -0.004
   45,  26.149
   46,  -0.004
   47,  26.149
   48,  -0.004
   49,  26.149
   50,  -0.004
   51,  26.149
   52,  -0.004
   53,  26.149
   54,  -0.004
   55,  26.149
   56,  -0.004
   57,  26.149
   58,  -0.004
   59,  26.149
   60,  -0.004
   61,  26.149
   62,  -0.004
   63,  26.149
   64,   1.120
   65,  25.935
   66,   1.120
   67,  25.935
   68,   1.120
   69,  25.935
   70,   1.120
   71,  25.935
   72,   1.120
   73,  25.935
   74,   1.120
   75,  25.935
   76,   1.120
   77,  25.935
   78,   1.120
   79,  25.935
   80,   1.120
   81,  25.935
   82,   1.120
   83,  25.935
   84,   1.120
   85,  25.935
   86,   1.120
   87,  25.935
   88,   1.120
   89,  25.935
   90,   1.120
   91,  25.935
   92,   1.120
   93,  25.935
   94,   1.120
   95,  25.935
   96,   1.837
   97,  27.065
   98,   1.837
   99,  27.065
  100,   1.837
  101,  27.065
  102,   1.837
  103,  27.065
  104,   1.837
  105,  27.065
  106,   1.837
  107,  27.065
  108,   1.837
  109,  27.065
  110,   1.837
  111,  27.065
  112,   1.837
  113,  27.065
  114,   1.837
  115,  27.065
  116,   1.837
  117,  27.065
  118,   1.837
  119,  27.065
  120,   1.837
  121,  27.065
  122,   1.837
  123,  27.065
  124,   1.837
  125,  27.065
  126,   1.837
  127,  27.065
  128,  -0.226
  129,  24.922
  130,  -0.226
  131,  24.922
  132,  -0.226
  133,  24.922
  134,  -0.226
  135,  24.922
  136,  -0.226
  137,  24.922
  138,  -0.226
  139,  24.922
  140,  -0.226
  141,  24.922
  142,  -0.226
  143,  24.922
  144,  -0.226
  145,  24.922
  146,  -0.226
  147,  24.922
  148,  -0.226
  149,  24.922
  150,  -0.226
  151,  24.922
  152,  -0.226
  153,  24.922
  154,  -0.226
  155,  24.922
  156,  -0.226
  157,  24.922
  158,  -0.226
  159,  24.922
  160,   0.769
  161,  25.082
  162,   0.769
  163,  25.082
  164,   0.769
  165,  25.082
  166,   0.769
  167,  25.082
  168,   0.769
  169,  25.082
  170,   0.769
  171,  25.082
  172,   0.769
  173,  25.082
  174,   0.769
  175,  25.082
  176,   0.769
  177,  25.082
  178,   0.769
  179,  25.082
  180,   0.769
  181,  25.082
  182,   0.769
  183,  25.082
  184,   0.769
  185,  25.082
  186,   0.769
  187,  25.082
  188,   0.769
  189,  25.082
  190,   0.769
  191,  25.082
  192,   1.293
  193,  25.336
  194,   1.293
  195,  25.336
  196,   1.293
  197,  25.336
  198,   1.293
  199,  25.336
  200,   1.293
  201,  25.336
  202,   1.293
  203,  25.336
  204,   1.293
  205,  25.336
  206,   1.293
  207,  25.336
  208,   1.293
  209,  25.336
  210,   1.293
  211,  25.336
  212,   1.293
  213,  25.336
  214,   1.293
  215,  25.336
  216,   1.293
  217,  25.336
  218,   1.293
  219,  25.336
  220,   1.293
  221,  25.336
  222,   1.293
  223,  25.336
  224,   2.221
  225,  26.200
  226,   2.221
  227,  26.200
  228,   2.221
  229,  26.200
  230,   2.221
  231,  26.200
  232,   2.221
  233,  26.200
  234,   2.221
  235,  26.200
  236,   2.221
  237,  26.200
  238,   2.221
  239,  26.200
  240,   2.221
  241,  26.200
  242,   2.221
  243,  26.200
  244,   2.221
  245,  26.200
  246,   2.221
  247,  26.200
  248,   2.221
  249,  26.200
  250,   2.221
  251,  26.200
  252,   2.221
  253,  26.200
  254,   2.221
  255,  26.200
  256, 109.847
  257,  26.773
  258, 109.847
  259,  26.773
  260, 109.847
  261,  26.773
  262, 109.847
  263,  26.773
  264, 109.847
  265,  26.773
  266, 109.847
  267,  26.773
  268, 109.847
  269,  26.773
  270, 109.847
  271,  26.773
  272, 109.847
  273,  26.773
  274, 109.847
  275,  26.773
  276, 109.847
  277,  26.773
  278, 109.847
  279,  26.773
  280, 109.847
  281,  26.773
  282, 109.847
  283,  26.773
  284, 109.847
  285,  26.773
  286, 109.847
  287,  26.773
  288, 110.034
  289,  27.436
  290, 110.034
  291,  27.436
  292, 110.034
  293,  27.436
  294, 110.034
  295,  27.436
  296, 110.034
  297,  27.436
  298, 110.034
  299,  27.436
  300, 110.034
  301,  27.436
  302, 110.034
  303,  27.436
  304, 110.034
  305,  27.436
  306, 110.034
  307,  27.436
  308, 110.034
  309,  27.436
  310, 110.034
  311,  27.436
  312, 110.034
  313,  27.436
  314, 110.034
  315,  27.436
  316, 110.034
  317,  27.436
  318, 110.034
  319,  27.436
  320, 110.845
  321,  26.968
  322, 110.845
  323,  26.968
  324, 110.845
  325,  26.968
  326, 110.845
  327,  26.968
  328, 110.845
  329,  26.968
  330, 110.845
  331,  26.968
  332, 110.845
  333,  26.968
  334, 110.845
  335,  26.968
  336, 110.845
  337,  26.968
  338, 110.845
  339,  26.968
  340, 110.845
  341,  26.968
  342, 110.845
  343,  26.968
  344, 110.845
  345,  26.968
  346, 110.845
  347,  26.968
  348, 110.845
  349,  26.968
  350, 110.845
  351,  26.968
  352, 111.952
  353,  28.040
  354, 111.952
  355,  28.040
  356, 111.952
  357,  28.040
  358, 111.952
  359,  28.040
  360, 111.952
  361,  28.040
  362, 111.952
  363,  28.040
  364, 111.952
  365,  28.040
  366, 111.952
  367,  28.040
  368, 111.952
  369,  28.040
  370, 111.952
  371,  28.040
  372, 111.952
  373,  28.040
  374, 111.952
  375,  28.040
  376, 111.952
  377,  28.040
  378, 111.952
  379,  28.040
  380, 111.952
  381,  28.040
  382, 111.952
  383,  28.040
  384,  -0.774
  385,  26.728
  386,  -0.774
  387,  26.728
  388,  -0.774
  389,  26.728
  390,  -0.774
  391,  26.728
  392,  -0.774
