TABLE CRVTime  123680-123680
#  cid 305
# channel,timeOffset
    0,   0.000
    1,  26.242
    2,   0.000
    3,  26.242
    4,   0.000
    5,  26.242
    6,   0.000
    7,  26.242
    8,   0.000
    9,  26.242
   10,   0.000
   11,  26.242
   12,   0.000
   13,  26.242
   14,   0.000
   15,  26.242
   16,   0.000
   17,  26.242
   18,   0.000
   19,  26.242
   20,   0.000
   21,  26.242
   22,   0.000
   23,  26.242
   24,   0.000
   25,  26.242
   26,   0.000
   27,  26.242
   28,   0.000
   29,  26.242
   30,   0.000
   31,  26.242
   32,  -0.004
   33,  27.181
   34,  -0.004
   35,  27.181
   36,  -0.004
   37,  27.181
   38,  -0.004
   39,  27.181
   40,  -0.004
   41,  27.181
   42,  -0.004
   43,  27.181
   44,  -0.004
   45,  27.181
   46,  -0.004
   47,  27.181
   48,  -0.004
   49,  27.181
   50,  -0.004
   51,  27.181
   52,  -0.004
   53,  27.181
   54,  -0.004
   55,  27.181
   56,  -0.004
   57,  27.181
   58,  -0.004
   59,  27.181
   60,  -0.004
   61,  27.181
   62,  -0.004
   63,  27.181
   64,   1.120
   65,  26.966
   66,   1.120
   67,  26.966
   68,   1.120
   69,  26.966
   70,   1.120
   71,  26.966
   72,   1.120
   73,  26.966
   74,   1.120
   75,  26.966
   76,   1.120
   77,  26.966
   78,   1.120
   79,  26.966
   80,   1.120
   81,  26.966
   82,   1.120
   83,  26.966
   84,   1.120
   85,  26.966
   86,   1.120
   87,  26.966
   88,   1.120
   89,  26.966
   90,   1.120
   91,  26.966
   92,   1.120
   93,  26.966
   94,   1.120
   95,  26.966
   96,   1.837
   97,  28.097
   98,   1.837
   99,  28.097
  100,   1.837
  101,  28.097
  102,   1.837
  103,  28.097
  104,   1.837
  105,  28.097
  106,   1.837
  107,  28.097
  108,   1.837
  109,  28.097
  110,   1.837
  111,  28.097
  112,   1.837
  113,  28.097
  114,   1.837
  115,  28.097
  116,   1.837
  117,  28.097
  118,   1.837
  119,  28.097
  120,   1.837
  121,  28.097
  122,   1.837
  123,  28.097
  124,   1.837
  125,  28.097
  126,   1.837
  127,  28.097
  128,  -0.359
  129,  26.250
  130,  -0.359
  131,  26.250
  132,  -0.359
  133,  26.250
  134,  -0.359
  135,  26.250
  136,  -0.359
  137,  26.250
  138,  -0.359
  139,  26.250
  140,  -0.359
  141,  26.250
  142,  -0.359
  143,  26.250
  144,  -0.359
  145,  26.250
  146,  -0.359
  147,  26.250
  148,  -0.359
  149,  26.250
  150,  -0.359
  151,  26.250
  152,  -0.359
  153,  26.250
  154,  -0.359
  155,  26.250
  156,  -0.359
  157,  26.250
  158,  -0.359
  159,  26.250
  160,   0.636
  161,  26.410
  162,   0.636
  163,  26.410
  164,   0.636
  165,  26.410
  166,   0.636
  167,  26.410
  168,   0.636
  169,  26.410
  170,   0.636
  171,  26.410
  172,   0.636
  173,  26.410
  174,   0.636
  175,  26.410
  176,   0.636
  177,  26.410
  178,   0.636
  179,  26.410
  180,   0.636
  181,  26.410
  182,   0.636
  183,  26.410
  184,   0.636
  185,  26.410
  186,   0.636
  187,  26.410
  188,   0.636
  189,  26.410
  190,   0.636
  191,  26.410
  192,   1.160
  193,  26.664
  194,   1.160
  195,  26.664
  196,   1.160
  197,  26.664
  198,   1.160
  199,  26.664
  200,   1.160
  201,  26.664
  202,   1.160
  203,  26.664
  204,   1.160
  205,  26.664
  206,   1.160
  207,  26.664
  208,   1.160
  209,  26.664
  210,   1.160
  211,  26.664
  212,   1.160
  213,  26.664
  214,   1.160
  215,  26.664
  216,   1.160
  217,  26.664
  218,   1.160
  219,  26.664
  220,   1.160
  221,  26.664
  222,   1.160
  223,  26.664
  224,   2.088
  225,  27.528
  226,   2.088
  227,  27.528
  228,   2.088
  229,  27.528
  230,   2.088
  231,  27.528
  232,   2.088
  233,  27.528
  234,   2.088
  235,  27.528
  236,   2.088
  237,  27.528
  238,   2.088
  239,  27.528
  240,   2.088
  241,  27.528
  242,   2.088
  243,  27.528
  244,   2.088
  245,  27.528
  246,   2.088
  247,  27.528
  248,   2.088
  249,  27.528
  250,   2.088
  251,  27.528
  252,   2.088
  253,  27.528
  254,   2.088
  255,  27.528
  256, 110.391
  257,  27.999
  258, 110.391
  259,  27.999
  260, 110.391
  261,  27.999
  262, 110.391
  263,  27.999
  264, 110.391
  265,  27.999
  266, 110.391
  267,  27.999
  268, 110.391
  269,  27.999
  270, 110.391
  271,  27.999
  272, 110.391
  273,  27.999
  274, 110.391
  275,  27.999
  276, 110.391
  277,  27.999
  278, 110.391
  279,  27.999
  280, 110.391
  281,  27.999
  282, 110.391
  283,  27.999
  284, 110.391
  285,  27.999
  286, 110.391
  287,  27.999
  288, 110.578
  289,  28.662
  290, 110.578
  291,  28.662
  292, 110.578
  293,  28.662
  294, 110.578
  295,  28.662
  296, 110.578
  297,  28.662
  298, 110.578
  299,  28.662
  300, 110.578
  301,  28.662
  302, 110.578
  303,  28.662
  304, 110.578
  305,  28.662
  306, 110.578
  307,  28.662
  308, 110.578
  309,  28.662
  310, 110.578
  311,  28.662
  312, 110.578
  313,  28.662
  314, 110.578
  315,  28.662
  316, 110.578
  317,  28.662
  318, 110.578
  319,  28.662
  320, 111.389
  321,  28.194
  322, 111.389
  323,  28.194
  324, 111.389
  325,  28.194
  326, 111.389
  327,  28.194
  328, 111.389
  329,  28.194
  330, 111.389
  331,  28.194
  332, 111.389
  333,  28.194
  334, 111.389
  335,  28.194
  336, 111.389
  337,  28.194
  338, 111.389
  339,  28.194
  340, 111.389
  341,  28.194
  342, 111.389
  343,  28.194
  344, 111.389
  345,  28.194
  346, 111.389
  347,  28.194
  348, 111.389
  349,  28.194
  350, 111.389
  351,  28.194
  352, 112.496
  353,  29.266
  354, 112.496
  355,  29.266
  356, 112.496
  357,  29.266
  358, 112.496
  359,  29.266
  360, 112.496
  361,  29.266
  362, 112.496
  363,  29.266
  364, 112.496
  365,  29.266
  366, 112.496
  367,  29.266
  368, 112.496
  369,  29.266
  370, 112.496
  371,  29.266
  372, 112.496
  373,  29.266
  374, 112.496
  375,  29.266
  376, 112.496
  377,  29.266
  378, 112.496
  379,  29.266
  380, 112.496
  381,  29.266
  382, 112.496
  383,  29.266
  384,  -0.301
  385,  28.423
  386,  -0.301
  387,  28.423
  388,  -0.301
  389,  28.423
  390,  -0.301
  391,  28.423
  392,  -0.301
  393,  28.423
  394,  -0.301
  395,  28.423
  396,  -0.301
  397,  28.423
  398,  -0.301
  399,  28.423
  400,  -0.301
  401,  28.423
  402,  -0.301
  403,  28.423
  404,  -0.301
  405,  28.423
  406,  -0.301
  407,  28.423
  408,  -0.301
  409,  28.423
  410,  -0.301
  411,  28.423
  412,  -0.301
  413,  28.423
  414,  -0.301
  415,  28.423
  416,   0.220
  417,  28.876
  418,   0.220
  419,  28.876
  420,   0.220
  421,  28.876
  422,   0.220
  423,  28.876
  424,   0.220
  425,  28.876
  426,   0.220
  427,  28.876
  428,   0.220
  429,  28.876
  430,   0.220
  431,  28.876
  432,   0.220
  433,  28.876
  434,   0.220
  435,  28.876
  436,   0.220
  437,  28.876
  438,   0.220
  439,  28.876
  440,   0.220
  441,  28.876
  442,   0.220
  443,  28.876
  444,   0.220
  445,  28.876
  446,   0.220
  447,  28.876
  448,   1.082
  449,  28.648
  450,   1.082
  451,  28.648
  452,   1.082
  453,  28.648
  454,   1.082
  455,  28.648
  456,   1.082
  457,  28.648
  458,   1.082
  459,  28.648
  460,   1.082
  461,  28.648
  462,   1.082
  463,  28.648
  464,   1.082
  465,  28.648
  466,   1.082
  467,  28.648
  468,   1.082
  469,  28.648
  470,   1.082
  471,  28.648
  472,   1.082
  473,  28.648
  474,   1.082
  475,  28.648
  476,   1.082
  477,  28.648
  478,   1.082
  479,  28.648
  480,   1.846
  481,  29.867
  482,   1.846
  483,  29.867
  484,   1.846
  485,  29.867
  486,   1.846
  487,  29.867
  488,   1.846
  489,  29.867
  490,   1.846
  491,  29.867
  492,   1.846
  493,  29.867
  494,   1.846
  495,  29.867
  496,   1.846
  497,  29.867
  498,   1.846
  499,  29.867
  500,   1.846
  501,  29.867
  502,   1.846
