#i       dt      corr[i]   fit_chi2
 0    -0.0000     0.0000    -0.0000
 1   -21.1607    21.1607     0.9985
 2     4.2588    16.9019     1.4831
 3     9.0292     7.8727     2.0602
 4    -8.5112    16.3839     1.4490
 5     4.9638    11.4201     1.3673
 6    11.8048    -0.3847     0.5755
 7   -18.6020    18.2173     0.9813
 8   166.3003  -148.0830     0.5995
 9  -325.7162   177.6333     1.3730
10   169.2177     8.4156     1.5394
11   -23.0070    31.4226     2.5834
12    10.1014    21.3212     1.1457
13    -1.0619    22.3831     1.1820
14     1.0000    -1.0000    -1.0000
15     1.0000    -1.0000    -1.0000
16    13.2125     9.1706     1.4712
17    -7.9552    17.1258     2.5641
18     9.7912     7.3346     1.2725
19    -0.7675     8.1021     4.8058
20   -84.5202    92.6223     1.6044
21    73.6810    18.9413     1.2805
22  -211.4671   230.4084     1.6828
23    26.7837   203.6247     1.2131
24   185.6081    18.0166     0.7999
25   -17.2924    35.3090     1.1427
26    34.9254     0.3835     0.3848
27    -4.6439     5.0274     3.5825
28    -8.8628    13.8902     1.9310
29    -0.3232    14.2134     4.0872
30     2.1332    12.0802     1.4772
31    24.2960   -12.2158     3.4888
32    -7.0207    -5.1951     1.3430
33    -7.3192     2.1241     1.1701
34   -19.5799    21.7041     0.3888
35   -10.2621    31.9661     3.2879
